City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Presidencia Roque Saenz Pena,AR,85.6,few clouds,-26.7852,-60.4388,Hotel Gualok
4,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
11,Hithadhoo,MV,82.69,few clouds,-0.6,73.0833,Scoop Guest House
14,Caravelas,BR,84.85,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
15,Nieuw Amsterdam,SR,87.82,scattered clouds,5.8833,-55.0833,Hotel Stardust
18,Castro,BR,77.77,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
26,Port Alfred,ZA,75.65,clear sky,-33.5906,26.891,The Halyards Hotel
27,Rikitea,PF,79.02,broken clouds,-23.1203,-134.9692,People ThankYou
29,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
31,Mahibadhoo,MV,82.02,few clouds,3.7833,72.9667,Omadhoo Inn
32,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
34,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
38,Coihaique,CL,83.01,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
41,Anicuns,BR,83.34,overcast clouds,-16.4611,-49.9617,Hotel Florida
42,Ambon,ID,75.34,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
44,Bandarbeyla,SO,76.03,overcast clouds,9.4942,50.8122,JABIR HOTEL
48,Moissala,TD,81.66,broken clouds,8.3404,17.7663,
55,Micheweni,TZ,80.28,overcast clouds,-4.9667,39.8333,
61,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
62,Banfora,BF,88.9,clear sky,10.6333,-4.7667,Residences David Hebié
65,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
66,Atar,MR,89.65,clear sky,20.5169,-13.0499,Oumou Elghoura
72,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
76,Grand Gaube,MU,79.38,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
78,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
79,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
80,Marsh Harbour,BS,75.02,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
83,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
87,Palmas,BR,82.27,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
91,Cananeia,BR,85.44,light rain,-25.0147,-47.9267,Pousada Ancoradouro
95,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
112,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
113,Kavaratti,IN,78.49,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
117,Bria,CF,79.12,overcast clouds,6.5423,21.9863,WFP Guesthouse
120,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
123,Sinnamary,GF,82.24,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
126,Poum,NC,79.99,overcast clouds,-20.2333,164.0167,
136,Bengkulu,ID,76.42,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
137,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
138,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
139,Bull Savanna,JM,80.01,clear sky,17.8868,-77.5902,Big Red's
142,Merauke,ID,81.12,overcast clouds,-8.4667,140.3333,
147,Port Elizabeth,ZA,78.1,thunderstorm with light rain,-33.918,25.5701,39 On Nile Guest House
153,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
156,Salvador,SV,86.4,clear sky,13.8333,-88.9167,Chico's Ranch
158,Inhambane,MZ,78.78,scattered clouds,-23.865,35.3833,Oceano
159,Tacuarembo,UY,77.56,broken clouds,-31.7333,-55.9833,Complejo San Fructuoso
162,Sechura,PE,82.54,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
177,Vila Do Maio,CV,79.59,clear sky,15.1333,-23.2167,Hotel Marilu
178,Madimba,TZ,79.88,broken clouds,-10.4,40.3333,
182,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
188,Santa Rosa,PH,79.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
189,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
190,Ancud,CL,77.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
196,Illapel,CL,85.59,clear sky,-31.6308,-71.1653,Hotel Londres
201,Kavieng,PG,81.23,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
203,Nioki,CD,80.6,broken clouds,-2.7167,17.6833,
205,Daru,PG,78.21,overcast clouds,-9.0763,143.2092,Daru Lodge
208,Hobyo,SO,76.78,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
211,Santa Maria,BR,79.9,broken clouds,-29.6842,-53.8069,Hotel Morotin
223,Honiara,SB,78.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
227,Lakatoro,VU,78.98,heavy intensity rain,-16.0999,167.4164,Lakatoro Palm Lodge
229,Cidreira,BR,81.59,few clouds,-30.1811,-50.2056,Hotel Castelo
232,Yenagoa,NG,83.79,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
234,Fayaoue,NC,82.0,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
236,Vao,NC,79.93,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
240,Taoudenni,ML,76.53,overcast clouds,22.6783,-3.9836,
244,Niono,ML,84.36,clear sky,14.2526,-5.993,Hôtel Campement
245,Cayenne,GF,82.44,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
248,Gorom-Gorom,BF,79.16,clear sky,14.4439,-0.2361,
249,Goya,AR,87.24,clear sky,-29.14,-59.2626,Apart Costanera Goya
252,Lazaro Cardenas,MX,84.92,clear sky,17.9583,-102.2,quinta antigua
254,Xai-Xai,MZ,77.5,clear sky,-25.0519,33.6442,Complexo da Familia
259,La Asuncion,VE,85.73,broken clouds,11.0333,-63.8628,Colinas de Matasiete
262,Bouloupari,NC,75.11,overcast clouds,-21.8667,166.05,Oua-Ya Lodge
267,Vanimo,PG,77.32,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
271,Inirida,CO,89.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
274,Presidente Medici,BR,85.26,light rain,-11.1753,-61.9014,Oliveira Palace Hotel
276,Faanui,PF,81.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
277,Karratha,AU,84.0,few clouds,-20.7377,116.8463,ibis Styles Karratha
279,Kruisfontein,ZA,76.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
280,Reserva,BR,75.07,broken clouds,-24.6503,-50.8506,Hotel Mavi
287,Nikki,BJ,85.44,clear sky,9.9401,3.2108,Hotel John
289,Ambilobe,MG,75.74,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
291,Manokwari,ID,78.19,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
292,Adela,PH,78.28,overcast clouds,12.4416,120.9729,De Kack's Private Resort
293,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
295,Roebourne,AU,83.84,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
298,Sisophon,KH,79.86,scattered clouds,13.5859,102.9737,Pyramid Hotel
299,Puerto Cabezas,NI,84.16,broken clouds,14.0351,-83.3888,Cabaña Caribe
300,Mariana,BR,75.99,overcast clouds,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
301,Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
315,Guiratinga,BR,84.96,moderate rain,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
316,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
321,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
322,Palmas Bellas,PA,89.51,scattered clouds,9.2319,-80.0867,Estación de Chagres
323,Praya,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
327,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
328,Manacapuru,BR,77.58,moderate rain,-3.2997,-60.6206,Novo Hotel
330,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
331,Diamantino,BR,84.67,overcast clouds,-14.4086,-56.4461,Hotel Delta
334,Pandan,PH,76.64,broken clouds,14.0453,124.1694,Bonifacio Lodge
338,Antalaha,MG,76.59,broken clouds,-14.9003,50.2788,Hotel Vitasoa
340,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
341,Luwuk,ID,76.84,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
342,Sunrise,US,82.0,scattered clouds,26.1577,-80.2861,"Holiday Inn Express & Suites Ft. Lauderdale-Plantation, an IHG Hotel"
345,Santa Cruz,BO,89.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
346,Chambas,CU,80.22,scattered clouds,22.1928,-78.9136,
350,Farafangana,MG,78.48,moderate rain,-22.8167,47.8333,Miarina
351,Salinopolis,BR,80.28,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
352,Aliang,PH,77.47,broken clouds,14.2833,120.8833,Microtel by Wyndham Eagle Ridge
353,Bom Jesus,BR,89.55,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
354,El Alto,PE,82.06,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
362,Buala,SB,80.65,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
367,Codajas,BR,81.34,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
368,Aconibe,GQ,76.1,broken clouds,1.2968,10.9369,
369,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
370,Coruripe,BR,84.88,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
373,Bousso,TD,82.17,scattered clouds,10.4795,16.7117,
378,Tucuma,BR,75.63,moderate rain,-0.1833,-50.05,
382,Port-Gentil,GA,80.55,clear sky,-0.7193,8.7815,Fengshui Residence
388,Koutiala,ML,88.05,clear sky,12.3917,-5.4642,Hotel La Chaumiere
390,Sao Joao Da Barra,BR,87.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
392,Marakkanam,IN,76.87,broken clouds,12.2,79.95,Samvasa by the Sea
397,Tarakan,ID,77.7,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
402,Bell Ville,AR,78.13,clear sky,-32.6259,-62.6887,Hotel Central
407,Rodrigues Alves,BR,79.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
408,Singaraja,ID,77.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
409,Fare,PF,81.01,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
411,Gadung,PH,80.29,broken clouds,6.8025,124.02,
414,Mandera,KE,88.03,broken clouds,3.9366,41.867,Mwalimu Guest mandera
419,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
422,Rawson,AR,75.96,few clouds,-43.3002,-65.1023,Hosteria Sampedro
424,Labuhan,ID,77.94,overcast clouds,-6.8844,112.2051,DoubleFAG
426,Brokopondo,SR,81.75,light rain,4.75,-55.1667,Matu Island
427,Meulaboh,ID,77.0,overcast clouds,4.1363,96.1285,Kost Pria
430,Bubaque,GW,78.01,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
432,Imbituba,BR,82.29,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
435,Chiredzi,ZW,78.69,overcast clouds,-21.05,31.6667,Clevers Hotel Chiredzi
440,Lages,BR,82.38,scattered clouds,-27.8161,-50.3261,Hotel Le CanarD Lages
445,Kihei,US,75.85,few clouds,20.785,-156.4656,Maui Sunset
447,San Carlos De Bariloche,AR,82.15,few clouds,-41.1456,-71.3082,Hotel Patagonia
449,Bagua Grande,PE,79.7,light rain,-5.7561,-78.4411,HOTELNIEVA
451,San Policarpo,PH,79.57,scattered clouds,12.1791,125.5072,Agapita M. Nicart
452,Valdivia,CL,85.78,clear sky,-39.8142,-73.2459,Hostal Entre Rios
453,Koumac,NC,78.75,overcast clouds,-20.5667,164.2833,Le Monitel
456,Sosua,DO,82.31,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
457,Maceio,BR,89.04,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
458,Soyo,AO,80.65,few clouds,-6.1349,12.3689,Hotel Mpampa
464,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
465,Bolobo,CD,79.09,scattered clouds,-2.1667,16.2333,Hotel de Stephen
466,Belmonte,BR,84.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
468,Batticaloa,LK,77.38,overcast clouds,7.7102,81.6924,Grand Star Guest House
469,Ixtapa,MX,76.23,few clouds,20.7,-105.2,hotel la terminal
471,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
473,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
476,Tulum,MX,75.25,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
479,Guarapari,BR,85.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
480,Aketi,CD,75.79,overcast clouds,2.7388,23.7833,
481,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
482,Pauini,BR,83.07,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
483,Amboasary,MG,76.84,light rain,-25.0333,46.3833,DISCOVERY AMBOASARY
484,Isangel,VU,77.11,moderate rain,-19.55,169.2667,Tanna Lodge
487,Carutapera,BR,81.3,moderate rain,-1.195,-46.02,Lidera
490,Bitam,GA,78.4,clear sky,2.076,11.5007,Bénédicta hôtel
495,Cuiaba,BR,86.85,overcast clouds,-15.5961,-56.0967,Getúllio Hotel
504,Mogadishu,SO,77.61,few clouds,2.0371,45.3438,Hotel Juba
508,Thinadhoo,MV,82.72,scattered clouds,0.5333,72.9333,
509,Itaituba,BR,89.76,broken clouds,-4.2761,-55.9836,Hotel Campos
515,Ugoofaaru,MV,81.19,broken clouds,5.6667,73.0,Ungoofaaru Inn
519,Huarmey,PE,75.54,few clouds,-10.0681,-78.1522,Hotel Miramar
523,Eydhafushi,MV,81.43,few clouds,5.1033,73.0708,Soneva Fushi
527,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
532,Samana,DO,79.02,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
542,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
544,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
547,Lima,PE,76.39,clear sky,-12.0432,-77.0282,Hotel Kamana
548,Trelew,AR,80.91,few clouds,-43.249,-65.3051,Hotel Touring Club
552,Arica,CL,80.15,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
553,Morant Bay,JM,85.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
556,San Juan,AR,79.7,clear sky,-31.5375,-68.5364,Hotel Provincial
557,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
566,Nabire,ID,76.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
569,Namibe,AO,75.06,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
586,Waingapu,ID,78.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
587,Pontalina,BR,80.01,overcast clouds,-17.525,-49.4472,Hotel Entre Rios
590,Tarauaca,BR,78.93,light rain,-8.1614,-70.7656,Flat Temporada
591,Lobito,AO,76.23,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
592,Kirakira,SB,80.85,overcast clouds,-10.4544,161.9205,SanBiz Lodge
599,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
603,Maunabo,PR,75.04,moderate rain,18.0072,-65.8993,Maunacaribe
608,Bakel,SN,87.26,clear sky,14.905,-12.4568,Ablaye Diallo Bakel
610,Chilca,PE,78.08,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
612,Pointe Michel,DM,88.74,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
615,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
616,Villalba,PR,81.28,overcast clouds,18.1272,-66.4921,La terapia
622,Pedernales,DO,80.78,overcast clouds,18.0384,-71.744,Hotel Costa Marina
624,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
627,Union Hidalgo,MX,77.67,clear sky,16.4723,-94.8295,"Posada "" Esquipulas"""
631,The Valley,AI,77.83,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
633,Odienne,CI,83.64,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
637,Jaltenango,MX,81.91,few clouds,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
642,San Martin,AR,77.54,clear sky,-33.081,-68.4681,Finca Vivencias
643,Alenquer,BR,79.14,overcast clouds,-1.9417,-54.7383,Detinha Hotel
646,Kindu,CD,75.16,overcast clouds,-2.95,25.95,Résidence Okanda
647,Catuday,PH,75.4,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
650,Doembang Nangbuat,TH,84.07,broken clouds,14.8333,100.1,ธาราริน วิลล่า
654,Katobu,ID,75.18,scattered clouds,-4.9408,122.5276,La Ode Husein
656,San Diego,US,78.28,clear sky,32.7153,-117.1573,Hilton San Diego Bayfront
658,Sao Paulo De Olivenca,BR,83.35,overcast clouds,-3.3783,-68.8725,
664,General Pico,AR,78.57,clear sky,-35.6566,-63.7568,Euskadi Hotel
667,Dhidhdhoo,MV,80.49,scattered clouds,6.8833,73.1,Dhidhoo beach
669,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
672,Gamba,GA,77.59,broken clouds,-2.65,10.0,
687,Axim,GH,80.15,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
688,Springbok,ZA,77.86,few clouds,-29.6643,17.8865,Undulata Country Lodge
689,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
696,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
